formula,property
NaAl3,0.18606323
CuDy3,0.323423758
EuCu3,0.243957485
MnPr3,0.617150518
MgTc3,0.220404791
SRu3,0.795420389
ErTe3,0.52225295
BrSn3,0.203049179
IIn3,0.32119613
HGe3,0.573646976
BeRb3,0.692654968
AgTh3,0.221594131
CrDy3,0.35577476
WEu3,0.75986129
BaBr3,0.226345201
CuNp3,0.324978583
InMn3,0.364633497
CsPr3,0.584041694
BrSb3,0.36438669
BaTb3,0.793158124
SCr3,0.545869013
OCe3,1.577251358
TbO3,0.646294544
KN3,3.431558815
GaMn3,0.089193837
AuAs3,0.431554967
MoAg3,0.714386954
PdDy3,0.369258024
CoY3,0.481211604
FAc3,1.183896187
MnN3,2.358733482
CuN3,2.714135261
CrW3,0.063872433
CeBe3,0.510077391
RbNi3,1.236508923
NaSr3,0.069300901
RuC3,2.894801944
TiCa3,0.429197802
CdIn3,0.0394802
GdI3,0.67093472
BiMn3,0.594968793
CuMn3,0.270610752
TmSb3,0.384428905
RuSm3,0.406355677
PtK3,0.211302399
BaLu3,0.319317116
CrZn3,0.12970299
FMg3,0.886063272
BTb3,1.360919384
VPb3,0.534365515
FeAl3,0.308144372
GdRb3,0.626848101
NaDy3,0.277463795
HoYb3,0.095514022
BCo3,0.519423379
SnTb3,0.46837202
AsEu3,0.472741643
WTe3,0.94081727
NbI3,1.088046089
ThAu3,0.014168675
BrY3,0.77755614
CeH3,0.000142398
NbPb3,0.650668825
FeCl3,1.036100546
CuGa3,0.169741829
NiRe3,0.329235916
IrN3,2.397852388
PdEu3,0.315408643
GaRh3,0.183654979
IrYb3,0.278202067
PtW3,0.355143273
CPb3,1.417898551
YGe3,0.394985417
SnCr3,0.245661736
ErLu3,0.139125866
TlCe3,0.15763312
CNa3,0.99708944
SrYb3,0.016062448
PmEu3,0.064656512
NiSe3,0.785630905
NdPb3,0.234090343
AlSi3,0.412058039
HPa3,0.82403769
OsEr3,0.375622703
YbSc3,0.240096181
BeGa3,0.337287641
BeB3,1.359462579
ZnN3,2.575438621
BiPu3,0.266954653
CuOs3,0.617665415
SiLa3,0.349303786
PmGe3,0.3086596
AcO3,0.384136862
SbCa3,0.358516963
IrV3,0.090165339
TcFe3,0.077380946
AsAc3,0.681488449
BeGe3,0.553967436
TbZr3,0.35839061
SnAc3,0.1935599
BH3,1.495104168
AcV3,0.782569666
ICe3,0.494878913
HfRe3,0.269478046
GeZr3,0.378760461
GaGe3,0.265508953
TmDy3,0.14283956
CeBr3,0.436028299
TiCr3,0.112245556
PdYb3,0.335932292
BrAc3,0.627164296
GeLa3,0.328922826
PbB3,2.340814625
CeYb3,0.059153243
LiRe3,0.201765364
YHf3,0.31718081
TcPd3,0.308018896
GaNa3,0.029879732
NiSc3,0.305598806
BrZr3,0.856426496
HgDy3,0.205968209
CsPt3,0.949439799
RuN3,2.247585626
EuSb3,0.284005271
ISb3,0.425656336
YPd3,0.169867945
AgS3,0.764376978
TmIn3,0.252684473
CO3,3.588123367
CoPu3,0.230361801
ErAs3,0.549278248
SrSb3,0.290403817
NiCe3,0.413684853
OTm3,1.839567865
ReMn3,0.164437992
PrBe3,0.478409428
ThDy3,0.15149952
GdK3,0.583046582
ClK3,0.432245811
LaSm3,0.133251244
NdMg3,0.00010925
EuTl3,0.025623122
SeTi3,0.512656417
BrYb3,0.506162699
TeGd3,0.463894238
FeOs3,0.55380447
NpCd3,0.30635514
FSi3,0.759451616
TiC3,2.755723344
SmAc3,0.154226338
CoDy3,0.482921828
PbH3,0.771277561
ClH3,1.628875858
TaTl3,0.949501856
TbSm3,0.306062621
RbRu3,1.696038153
TmEr3,0.14285213
InB3,2.103670268
SePb3,0.318090461
CsCd3,0.198357482
WTc3,0.192598054
IMn3,0.992037661
CaI3,0.491296298
KTc3,1.415581958
MnLu3,0.440962416
BiRe3,1.00352401
DyPt3,0.327719903
OsSr3,0.684688305
LiEr3,0.173714775
AlW3,0.213767245
CeS3,0.698156947
SiSe3,0.898121782
RuH3,0.548191748
SiBe3,0.448264899
CrCo3,0.242406992
IrNd3,0.435970284
ZnTm3,0.233427722
GaHg3,0.12224744
FeNi3,0.1055483
VMo3,0.001071602
OsZn3,0.210560113
KFe3,1.342872924
TmSe3,0.669083528
InNp3,0.631280103
HIn3,0.400948354
HoMo3,0.326156919
AcCl3,0.300053869
TlZn3,0.265621361
ErSi3,0.652126441
PaAg3,0.255480219
CeSi3,0.741682189
TbDy3,0.307910061
BrBa3,0.603595472
YbTm3,0.185354883
AuCr3,0.37043262
FNa3,0.576558495
NIr3,1.399851271
ClIr3,1.221902046
HgBa3,0.235998878
SnZr3,0.164505665
PbCr3,0.782607612
TbTa3,0.574556201
NiTc3,0.313584756
SrP3,0.921988693
FK3,0.681872502
PMg3,0.483745657
IHo3,0.617933444
FeEr3,0.428775282
GdBa3,0.211967416
CdGe3,0.316562054
ZrSr3,0.529740201
MoTi3,0.031559856
InO3,1.103939504
NaN3,2.957967405
MgPr3,0.110473521
BiHo3,0.310853758
GaZn3,0.123572856
TbAu3,0.076733879
CAl3,1.192297624
PrLi3,0.198019826
RhCr3,0.174298114
HBr3,1.067539239
CTi3,1.088963399
RbI3,0.400928626
AuRh3,0.37409557
GdPd3,0.185671915
CuTb3,0.720488942
LiPr3,0.180111184
RhI3,1.154416039
MnSb3,0.445282418
VC3,2.826851744
CoTh3,0.588001697
SrAc3,0.129841274
AcSb3,0.29708212
NdSm3,0.139013106
RhYb3,0.292675214
PuNb3,0.492375627
PuC3,2.00558297
HfPb3,0.424200849
ScBi3,0.335750113
OW3,1.580048762
TlTi3,0.138348355
CeMn3,0.674052235
RuMo3,0.195648946
VRu3,0.375661763
KSr3,0.103280274
SmMg3,0.000146356
HSr3,0.761357921
ScEr3,0.136968589
CrSe3,0.816674581
GeCl3,0.892302313
HfPu3,0.211741044
PbCe3,0.201708511
TiO3,1.235042219
TlIr3,0.713148474
AgTa3,0.319477478
ReN3,2.016945229
BrCa3,0.593845891
HfOs3,0.616371415
GeH3,0.839149307
ThCl3,0.504533788
TbNa3,0.508854241
ClC3,4.154821169
ReB3,1.643881153
SeTm3,0.722529493
CdH3,0.952346868
CoGd3,0.487222122
SnB3,2.055652706
WLi3,1.039471833
PmPu3,0.308874764
NdC3,2.594319177
MnBa3,0.478121864
CoSn3,0.507059091
NaSi3,0.576119338
BrTa3,1.154343515
RbS3,1.171043601
IrRu3,0.646652096
HgAl3,0.257216134
FeAg3,0.335620294
ScRh3,0.272051863
NpTi3,0.16799995
MnOs3,0.559325909
RhDy3,0.449107781
DyNp3,0.756445774
LiAc3,0.164507737
AgCe3,0.207668631
BeNd3,0.429116995
TaCr3,0.155176197
DyEr3,0.142323578
NiP3,0.765698739
GdS3,0.753365286
UCl3,0.397310326
GdAu3,0.07523389
ZnGd3,0.226802761
ZrP3,0.746087673
PtTl3,0.263905856
ThBa3,0.456295335
SeB3,2.216422757
SiZr3,0.419130226
HgTb3,0.530358623
OsRu3,0.668337606
AcHo3,0.133517038
HfV3,0.193164829
PaP3,0.592972997
AgNd3,0.230938582
PbTm3,0.278324547
EuEr3,0.18366351
BrGd3,0.72605872
CrRu3,0.473042143
AsRh3,0.386287452
MoSi3,0.769878486
PuZr3,0.583920349
AsGe3,0.374265908
TcRb3,1.238461199
YbEr3,0.17668118
PaGe3,0.506388875
SeCu3,0.314033624
EuAc3,0.097640977
MgTm3,0.096511835
RhAg3,0.262217407
BeSi3,0.565598169
FeSn3,0.431029942
RePd3,0.357451112
IrMo3,0.325880351
PbPr3,0.205637653
SrMg3,0.069873942
TcW3,0.056745804
BeTe3,0.878773693
CuRb3,0.362409898
RuFe3,0.103573428
NMg3,1.261757512
OCr3,1.16538804
PdFe3,0.114182115
CoSc3,0.295717523
DyNb3,0.314569983
ScBa3,0.300943651
TmTl3,0.167974206
UGe3,0.565129705
LiH3,0.769138136
InPd3,0.0480329
CaO3,1.070656176
HoPt3,0.331162495
ReF3,1.234215294
ErPa3,0.364722543
CrSc3,0.257926031
ClSb3,0.344995465
PtBr3,1.047626014
CGa3,1.163020822
CdCa3,0.086710192
CYb3,1.111862915
NiCa3,0.401748241
IW3,1.294245156
AuTb3,0.632679641
NpS3,0.490320204
ErB3,1.780077249
ZnBe3,0.250467265
FeS3,1.051868486
FB3,2.384506676
TeNi3,0.167139605
CsSi3,1.138777393
PtAg3,0.109194539
ReMo3,0.043248277
ErMn3,0.548539521
CaCr3,1.130364783
ThHf3,0.181496204
PuSc3,0.119931956
ClB3,2.825222115
ONd3,1.654447177
RuHg3,0.683023756
CsRe3,2.156074874
TeU3,0.62564267
NdPu3,0.316159189
CNd3,1.259848065
PRe3,0.581262254
TbNb3,0.492789446
HgZn3,0.201581576
PaSm3,0.405512734
ZrRh3,0.346598645
LiNp3,0.435336978
YbPr3,0.111810544
VHo3,0.31730286
ScW3,0.211948136
SGd3,0.962282589
CdS3,0.84524872
TbCa3,0.282941214
PmTi3,0.300612647
YbIn3,0.10217153
TlI3,0.342698231
PrAl3,0.393184645
MgY3,0.117014015
NbF3,0.844038463
BaIn3,0.153201093
LaNb3,0.418706092
EuNi3,0.33578143
CaBe3,0.60800518
GeN3,2.608894455
PbGd3,0.251146264
SSc3,0.912435957
PbW3,0.929313595
BrHg3,0.226824829
HfTa3,0.097912364
OsGa3,0.597760954
MgRh3,0.21479914
SNi3,0.388303913
SmNa3,0.31226242
AcPd3,0.219069365
CrGd3,0.362193259
GeSr3,0.383661923
RbCl3,0.555516946
SLi3,0.445146898
TlCo3,0.652216676
NNd3,1.615288421
MnSe3,0.748971255
PtPu3,0.272297118
TeZr3,0.402701066
BaPa3,0.910912455
ErGa3,0.282467825
AlIn3,0.141602628
TiPm3,0.317394037
SmN3,1.9858948
OsAs3,0.759971569
DyMo3,0.347241891
BeTb3,0.882699255
CuPt3,0.148945685
OsBe3,0.225272658
IrTc3,0.561312803
ClMg3,0.659667763
LuNd3,0.12497989
LuTb3,0.63247655
NZn3,0.815601686
ZrAs3,0.618301102
ReZn3,0.437017154
TiRu3,0.395264843
MoTh3,0.379271645
CdPt3,0.118874618
CaN3,2.357994218
HgSc3,0.150127472
BiAs3,0.403328208
ZrPt3,0.321904967
SmCs3,0.623739681
SmU3,0.728968547
SeYb3,0.696922143
NiTl3,0.413931634
GdPa3,0.393824091
OsSb3,0.757496299
AsTb3,0.9304407
RhEu3,0.283317736
PmBr3,0.509881456
NdRu3,0.551514442
AcTl3,0.137462705
VRb3,0.914932768
RuMg3,0.103255973
AuNb3,0.160055936
CuMo3,0.338947803
IZr3,0.665407155
PtCe3,0.407123287
TlAg3,0.147884423
ZrSn3,0.428416352
InAu3,0.055079923
HgMg3,0.061124058
CuTl3,0.307529476
DyLa3,0.138314286
HZr3,0.988053069
EuAg3,0.091337473
InAc3,0.164384004
HfPa3,0.214546036
NaTc3,0.730078869
TiPb3,0.387261342
SnSc3,0.175094955
CoPa3,26.00238585
SiGa3,0.21785006
TcH3,0.539378466
CaB3,1.894356433
GeGd3,0.411222578
MoPb3,0.83860808
YbZn3,0.075341426
ZnCo3,0.282385222
LaOs3,0.975829971
SnNb3,0.173674551
OP3,1.033484571
CeU3,0.811376514
SeBe3,1.232889955
VNa3,0.690597242
SrRb3,0.128677363
TmB3,1.773613587
YbTi3,0.44828235
NpEr3,0.411202618
NdIn3,0.286332243
ErZr3,0.174494789
YbBi3,0.167146076
SrPt3,0.577475103
LuHf3,0.266328355
PtPb3,0.305342564
GaHo3,0.259020902
PuN3,1.468128908
BiHf3,0.331265339
CdHf3,0.224370026
SHf3,0.998531705
TeCe3,0.414009196
HoS3,0.768843485
SeDy3,0.735838007
ClN3,3.56458597
CaPr3,0.115068089
RhY3,0.44856796
DyIn3,0.27760072
UY3,0.49295789
NLa3,1.39982721
DyB3,1.791206107
ReRh3,0.396709682
ZrH3,0.182170824
LiSc3,0.209969939
PSb3,0.392165663
UNb3,0.130867921
IPd3,0.268152693
AuAl3,0.308385487
SrTa3,1.0092114
PuPa3,0.143677565
NiSi3,0.547939491
LiTh3,0.270762865
TcCs3,1.250669351
PmPa3,0.422308309
SiIn3,0.281140494
BiAl3,0.312383999
PbK3,0.08881433
ClPb3,0.218823804
AcP3,0.597911756
SrRe3,1.080477549
ReGe3,0.616443534
CrNd3,0.369948394
HCa3,0.774473748
RbW3,2.027801355
BrHf3,1.00843461
KCl3,0.531034293
PbIn3,0.077080702
MoLa3,0.444322403
TaPt3,0.299326734
LiRb3,0.128334475
LuGa3,0.270646805
CuHo3,0.31956462
UAl3,0.269965502
KY3,0.541647308
PrAu3,0.07466432
RbIn3,0.17613128
BeSr3,0.535941379
KTi3,1.123214956
AlPu3,0.342896146
AsSi3,0.606425949
NPr3,1.560492049
NCo3,1.089612229
RbRe3,1.941604806
OsTm3,0.365263271
ZrAg3,0.095396074
CV3,0.899302027
BrNb3,1.000963797
PbTe3,0.327617551
AsNi3,0.114746197
AuBa3,0.344155008
AgV3,0.409062301
GaC3,3.198090616
ThNb3,0.180032165
ClF3,1.15583687
BAg3,0.840888167
InZr3,0.162550215
SCd3,0.509775831
CsPb3,0.25933772
InPb3,0.107732235
SiZn3,0.283602584
AuAc3,0.396647516
PrH3,0.036063002
FeW3,0.170551917
CeNd3,0.129337139
CoAg3,0.453774294
PaO3,0.065958145
RuTc3,0.409918512
NbAg3,0.395017652
AgF3,0.522127028
NiTb3,0.786654531
FeI3,0.946745224
AcBe3,0.651249516
BrRh3,0.84652424
YbRb3,0.150562465
UNp3,0.409840357
GaTl3,0.078925332
PbPd3,0.083561625
SbFe3,0.072792707
NaAg3,0.094739381
CoYb3,0.362109418
AgNb3,0.281646338
BaCr3,1.620819373
SnPr3,0.200140309
MgAc3,0.124353191
PaZr3,0.098630928
GdSr3,0.179778421
MgGd3,0.102509572
DySe3,0.648530758
CsSr3,0.162586505
CsU3,1.660071086
ClEr3,0.89015014
BiNi3,0.185933267
NpSn3,0.36267827
MoPt3,0.326607252
TbP3,0.798346023
NEu3,1.372625248
PtTa3,0.181199184
ClPr3,0.773768054
YbNd3,0.121446549
TiNp3,0.32778052
NdCd3,0.035562229
LaCo3,0.485005655
AuS3,0.843137104
BRe3,0.863681823
PCe3,0.669007371
NbTa3,0.00592251
MoP3,0.786246338
NCa3,1.514337845
LaRu3,0.535987292
NbGe3,0.64386479
NdCo3,0.458428338
HoAu3,0.078937879
CsPm3,0.626289818
RuF3,0.765613786
BeK3,0.647426416
