formula,property
Cr-Ta-Ga-N,0.1036971
Cr-Ta-Ge-C,0.028496725
Cr-Ta-Ge-N,0.16232786
Cr-Ta-In-C,0.13989444
Cr-Ta-In-N,0.23483044
Cr-Ta-Ni-C,0.074553676
Cr-Ta-Ni-N,0.13935407
Cr-Ta-P-C,0.11929365
Cr-Ta-P-N,0.2745651
Cr-Ta-Pb-C,0.3545752
Cr-Ta-Pb-N,0.43235022
Cr-Ta-S-C,0.17216787
Cr-Ta-S-N,0.26446465
Cr-Ta-Sb-C,0.23375195
Cr-Ta-Sb-N,0.31308416
Cr-Ta-Si-C,0.101883695
Cr-Ta-Si-N,0.25908187
Cr-Ta-Sn-C,0.11692163
Cr-Ta-Sn-N,0.25919825
Cr-Ta-Tl-C,0.3060155
Cr-Ta-Tl-N,0.34035194
Cr-Ta-Zn-C,0.06390777
Cr-Ta-Zn-N,0.11525915
Cr-Ti-Al-C,-0.003994491
Cr-Ti-Al-N,0.22457184
Cr-Ti-As-C,0.07232398
Cr-Ti-As-N,0.15809534
Cr-Ti-Au-C,0.06897191
Cr-Ti-Au-N,0.1268691
Cr-Ti-Bi-C,0.2930835
Cr-Ti-Bi-N,0.40819058
Cr-Ti-Cd-C,0.12249528
Cr-Ti-Cd-N,0.2036813
Cr-Ti-Co-C,0.10207964
Cr-Ti-Co-N,0.14814867
Cr-Ti-Cu-C,0.11969464
Cr-Ti-Cu-N,0.2088378
Cr-Ti-Fe-C,0.10878116
Cr-Ti-Fe-N,0.17095721
Cr-Ti-Ga-C,-0.022024818
Cr-Ti-Ga-N,0.07187537
Cr-Ti-Ge-C,-0.005470296
Cr-Ti-Ge-N,0.10094428
Cr-Ti-In-C,0.08808511
Cr-Ti-In-N,0.20460896
Cr-Ti-Ni-C,0.09499461
Cr-Ti-Ni-N,0.14403507
Cr-Ti-P-C,0.11142977
Cr-Ti-P-N,0.19481374
Cr-Ti-Pb-C,0.27321476
Cr-Ti-Pb-N,0.39126465
Cr-Ti-S-C,0.13946027
Cr-Ti-S-N,0.17300387
Cr-Ti-Sb-C,0.18920451
Cr-Ti-Sb-N,0.2817391
Cr-Ti-Si-C,0.06461346
Cr-Ti-Si-N,0.22275686
Cr-Ti-Sn-C,0.08491935
Cr-Ti-Sn-N,0.19642374
Cr-Ti-Tl-C,0.25655293
Cr-Ti-Tl-N,0.32089728
Cr-Ti-Zn-C,0.020749228
Cr-Ti-Zn-N,0.086245246
Cr-V-Al-C,-0.013358548
Cr-V-Al-N,0.2551849
Cr-V-As-C,0.08217341
Cr-V-As-N,0.16782305
Cr-V-Au-C,0.08780431
Cr-V-Au-N,0.15469784
Cr-V-Bi-C,0.36172983
Cr-V-Bi-N,0.40051493
Cr-V-Cd-C,0.14674376
Cr-V-Cd-N,0.20541386
Cr-V-Co-C,0.1588374
Cr-V-Co-N,0.19024765
Cr-V-Cu-C,0.16408294
Cr-V-Cu-N,0.23890166
Cr-V-Fe-C,0.1513345
Cr-V-Fe-N,0.20784414
Cr-V-Ga-C,-0.008936957
Cr-V-Ga-N,0.04480472
Cr-V-Ge-C,-0.0018736243
Cr-V-Ge-N,0.07129688
Cr-V-In-C,0.10761531
Cr-V-In-N,0.18284698
Cr-V-Ni-C,0.12569967
Cr-V-Ni-N,0.19059326
Cr-V-P-C,0.1070773
Cr-V-P-N,0.21606416
Cr-V-Pb-C,0.31769815
Cr-V-Pb-N,0.3818898
Cr-V-S-C,0.12802473
Cr-V-S-N,0.24979426
Cr-V-Sb-C,0.19750743
Cr-V-Sb-N,0.28053796
Cr-V-Si-C,0.08581971
Cr-V-Si-N,0.22582416
Cr-V-Sn-C,0.107828446
Cr-V-Sn-N,0.19570708
Cr-V-Tl-C,0.29899973
Cr-V-Tl-N,0.3269564
Cr-V-Zn-C,0.056765284
Cr-V-Zn-N,0.08199973
Cr-W-Al-C,0.00022044394
Cr-W-Al-N,0.45796445
Cr-W-As-C,0.12585904
